YEAR,STATE,EDU_LEVEL,EDU_LEVEL_COUNT
2012,South Carolina,9th grade,67
2012,South Carolina,Associate degree in college - academic program,94
2012,South Carolina,Associate degree in college - occupation/vocation program,88
2012,South Carolina,Bachelor's degree,251
2012,South Carolina,Children,484
2012,South Carolina,Doctorate degree,15
2012,South Carolina,High school graduate - high school diploma or equivalent,613
2012,South Carolina,Less than 1st grade,4
2012,South Carolina,Master's degree,117
2012,South Carolina,Professional school degree,13
2012,South Carolina,Some college but no degree,344
2012,South Dakota,10th grade,91
2012,South Dakota,11th grade,97
2012,South Dakota,12th grade no diploma,22
2012,South Dakota,"1st,2nd,3rd,or 4th grade",3
2012,South Dakota,5th or 6th grade,10
